title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
前端经理,30k-40k,北京 海淀区 中关村,5-10年,本科,搜狐,移动互联网,已上市,10000人以上,王先生,招聘经理
web前端,12k-24k,杭州  ,3-5年,本科,浙江大华,互联网,已上市,10000人以上,周先生,web前端主管
web前端,8k-13k,青岛  ,3-5年,本科,浪潮集团,计算机软件,已上市,10000人以上,郝先生,java技术经理
前端,10k-20k,合肥  ,3-5年,本科,SensorsData,互联网,C轮,100-499人,张女士,HR
前端开发工程师,14k-24k,上海 青浦区 盈浦,3-5年,本科,绛门科技,计算机软件,已上市,500-999人,郝女士,招聘专员
前端主管,15k-30k,杭州 下城区 东新路,5-10年,大专,杭州星客,移动互联网,未融资,100-499人,卢女士,人事专员
web前端,15k-30k,南京  ,3-5年,大专,Suning,批发/零售,已上市,10000人以上,韩先生,技术经理
前端研发专家,35k-65k,北京 朝阳区 望京,5-10年,大专,思源互联科技,移动互联网,不需要融资,1000-9999人,王女士,中级招聘专员
web前端,13k-26k,杭州 西湖区 转塘,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,余女士,高级招聘顾问
web前端,12k-24k,南京 江宁区 大学城,3-5年,本科,软通动力有限公司,计算机软件,已上市,10000人以上,张女士,招聘顾问
前端leader,40k-65k,深圳 南山区 科技园,5-10年,本科,无秘,移动互联网,B轮,100-499人,龚女士,招聘经理
web前端,30k-50k,北京 东城区 雍和宫,5-10年,本科,VIPKID,移动互联网,D轮及以上,10000人以上,高先生,高级前端工程师
前端工程师,10k-20k,北京 顺义区 后沙峪,1-3年,本科,利顿人通,计算机软件,未融资,100-499人,,HRBP
前端讲师,12k-20k,哈尔滨  ,5-10年,大专,千锋教育哈尔滨分校区,培训机构,不需要融资,500-999人,阚先生,校长
前端工程师,10k-11k,北京 海淀区 马连洼,经验不限,本科,跟谁学,互联网,A轮,1000-9999人,董先生,资深工程师
WEB前端,10k-20k,南京 江宁区 方山,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,余女士,人事经理
前端高级开发工程师,15k-30k,深圳 罗湖区 东门,3-5年,本科,金服银行科技中心,互联网金融,已上市,10000人以上,韦女士,HR
前端开发,14k-28k,深圳 龙岗区 坂田,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,陈先生,招聘顾问
前端工程师,25k-50k,北京 海淀区 双榆树,经验不限,本科,今日头条,移动互联网,不需要融资,10000人以上,胡女士,HR
资深前端工程师,30k-45k,北京 海淀区 中关村,5-10年,本科,好未来,互联网,已上市,10000人以上,骆女士,Hr
前端开发,10k-14k,北京 朝阳区 酒仙桥,3-5年,本科,宇信科技,计算机软件,已上市,1000-9999人,李女士,招聘者
高级前端工程师,15k-25k,北京 朝阳区 望京,5-10年,本科,新奥集团,互联网,已上市,10000人以上,杨女士,人力资源专员
前端工程师-顺义,11k-18k,北京 顺义区 马坡,1-3年,本科,科蓝软件,计算机软件,已上市,1000-9999人,林女士,HR
前端开发工程师,8k-15k,天津 河西区 永安道,3-5年,本科,亚信科技,计算机软件,已上市,10000人以上,张女士,招聘主管
web前端,20k-40k,北京 朝阳区 呼家楼,3-5年,本科,蚂蚁金服,互联网,C轮,10000人以上,刘先生,技术开发
前端主管,15k-20k,深圳 龙华区 龙华,3-5年,本科,万商联购,生活服务,未融资,100-499人,陈女士,HR
web前端,15k-30k,广州  ,1-3年,本科,视源股份(CVTE),其他行业,已上市,1000-9999人,蒋先生,WEB前端开发工程师
