title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
嵌入式,7k-12k,泉州  ,经验不限,本科,艾方科技,智能硬件,未融资,20-99人,李先生,总经理
嵌入式,6k-10k·13薪,南京 玄武区 珠江路,1-3年,本科,海得逻捷科技,通信/网络设备,天使轮,0-20人,谢先生,HR
嵌入式软件工程师,18k-30k,南京 雨花台区 铁心桥,5-10年,本科,华为,计算机软件,不需要融资,10000人以上,高先生,高级软件开发工程师
嵌入式软件工程师,12k-20k,广州 黄埔区 科学城,3-5年,本科,京信通信集团,通信/网络设备,已上市,1000-9999人,李女士,hrbp
嵌入式,8k-16k,常州  ,3-5年,本科,诺米科技,仪器仪表/工业自动化,不需要融资,20-99人,杨先生,CEO
嵌入式工程师（应用）,15k-30k,北京 海淀区 五道口,5-10年,本科,清微智能,电子/半导体/集成电路,A轮,20-99人,边女士,招聘者
嵌入式软件工程师,8k-16k,嘉兴 嘉善县 ,3-5年,大专,凯士电子（浙江）...,仪器仪表/工业自动化,未融资,500-999人,杨先生,人事主管
嵌入式,6k-10k,杭州 拱墅区 崇贤,经验不限,本科,智充电力,智能硬件,未融资,20-99人,秦先生,经理
SH嵌入式软件工程师,10k-20k,上海 闵行区 七宝,5-10年,本科,宁波凯耀电器,贸易/进出口,不需要融资,1000-9999人,孙女士,招聘者
高级嵌入式软件开发工程师,11k-22k,成都 武侯区 石羊,3-5年,本科,永安行,生活服务,已上市,1000-9999人,孙女士,招聘者
嵌入式软件工程师,6k-8k,常州  ,1-3年,本科,格力博,其他行业,A轮,1000-9999人,,HR
嵌入式软件开发,7k-12k,株洲  ,经验不限,大专,软通动力,计算机软件,已上市,10000人以上,陈先生,招聘经理
嵌入式测试工程师,7k-12k,杭州 西湖区 古荡,1-3年,本科,涂鸦智能,智能硬件,C轮,1000-9999人,彭女士,招聘者
嵌入式开发工程师,9k-15k,东莞  ,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,刘女士,招聘专员
嵌入式,8k-13k,北京 朝阳区 国贸,1-3年,本科,极致互联,智能硬件,未融资,0-20人,于先生,高级顾问
嵌入式,14k-18k,武汉 青山区 八大家,5-10年,大专,盛锐丰科技,智能硬件,不需要融资,20-99人,章先生,招聘者
嵌入式,6k-9k,西安 长安区 郭杜,3-5年,本科,航光测控,通信/网络设备,不需要融资,20-99人,金先生,总经理
嵌入式硬件工程师,15k-25k,北京 昌平区 回龙观,3-5年,本科,三一智矿科技,机械设备/机电/重工,不需要融资,10000人以上,孔女士,人力资源助理
linux嵌入式,7k-10k,大连  ,3-5年,本科,九邦信投网,互联网金融,不需要融资,100-499人,李女士,运营主管
嵌入式工程师,11k-22k,北京 昌平区 回龙观,3-5年,本科,神州安付,智能硬件,A轮,100-499人,王女士,人事
嵌入式软件工程师,8k-16k·13薪,苏州  ,经验不限,本科,苏州国芯,电子/半导体/集成电路,未融资,100-499人,陈先生,项目经理
嵌入式软件工程师,13k-26k,广州 天河区 员村,5-10年,本科,宇泰行,互联网,未融资,100-499人,李女士,项目专员
嵌入式,25k-50k,杭州 滨江区 长河,3-5年,本科,华为,计算机软件,不需要融资,10000人以上,王先生,项目经理
嵌入式,10k-15k,北京 昌平区 沙河,5-10年,本科,中油瑞飞,计算机软件,不需要融资,1000-9999人,卫先生,自动化产品研发部部门经理
