title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
实习产品经理,2-4K,北京,1年以内,本科,绿盟科技,信息安全,已上市,1000-9999人,暂无信息,暂无信息
产品专员,8-10K,上海,1-3年,本科,小i机器人,计算机软件,已上市,500-999人,王女士,高级招聘专员
产品经理,16-20K,南京,3-5年,大专,南京苏宁软件,计算机软件,已上市,10000人以上,陈先生,招聘者
产品经理,4-7K,盘锦,3-5年,本科,高山,数据服务,未融资,1000-9999人,杨先生,人事经理
产品经理,6-10K,广州,3-5年,大专,御采堂科技,贸易/进出口,未融资,100-499人,冯女士,人事助理
产品专员,8-9K,成都,经验不限,学历不限,成都馨居尚装饰集团,装修装饰,未融资,1000-9999人,李先生,营销经理
产品经理,20-35K,杭州,经验不限,学历不限,云车金融,互联网,不需要融资,1000-9999人,胡先生,副总裁
产品策划,10-15K,杭州,1-3年,本科,边锋,游戏,不需要融资,1000-9999人,苏女士,招聘者
POP产品专家,40-80K,杭州,5-10年,本科,网易考拉,电子商务,不需要融资,1000-9999人,杜先生,招聘经理
产品专员,4-7K,西安,1-3年,大专,佳帮手,互联网,不需要融资,1000-9999人,申女士,HR
产品经理（B端）,20-30K,上海,3-5年,本科,海风教育,在线教育,D轮及以上,10000人以上,李女士,高级招聘专家
产品经理,6-8K,佛山,1-3年,大专,美涂士漆,化工,未融资,1000-9999人,李先生,招聘经理
产品经理,15-30K,杭州,5-10年,本科,税友软件集团,计算机软件,不需要融资,1000-9999人,黄女士,招聘HR
产品经理,20-40K,北京,3-5年,本科,跟谁学,互联网,A轮,1000-9999人,任女士,HR
产品经理,15-25K,深圳,3-5年,本科,艾磊创兴,计算机软件,未融资,100-499人,朱女士,HR
软件产品实施,4-8K,天津,经验不限,大专,弘历软件,计算机软件,未融资,500-999人,和女士,人事经理
产品经理,15-25K,北京,3-5年,本科,Boss直聘,人力资源服务,D轮及以上,1000-9999人,吴女士,招聘者
产品专员,7-13K,合肥,3-5年,本科,卫宁健康,医疗健康,已上市,1000-9999人,高先生,售前/策划经理
产品经理,17-34K,上海,5-10年,本科,安居客,互联网,已上市,10000人以上,梁先生,HRBP
产品经理,11-20K,上海,1-3年,本科,绛门科技,计算机软件,已上市,500-999人,郝女士,招聘专员
产品经理,20-30K,上海,3-5年,本科,普道咨询,咨询,A轮,100-499人,吴女士,招聘专员
产品经理,20-30K·14薪,北京,3-5年,本科,狸米科技,互联网,B轮,1000-9999人,田女士,HRBP
产品经理,5-10K,武汉,经验不限,本科,天喻教育,移动互联网,未融资,1000-9999人,天先生,研发经理
产品经理,25-30K,北京,3-5年,本科,百度,互联网,已上市,10000人以上,罗先生,资深产品经理
网页产品经理,20-30K,北京,3-5年,本科,搜狗,互联网,已上市,1000-9999人,刘女士,资深高级产品经理
产品经理,15-25K,杭州,3-5年,本科,安恒信息,信息安全,D轮及以上,1000-9999人,毛先生,部门主管
产品经理,5-8K,太原,1-3年,本科,超星集团,在线教育,不需要融资,1000-9999人,张先生,副总经理
产品经理,9-14K,郑州,3-5年,本科,大山外语,在线教育,已上市,1000-9999人,宋先生,技术总监
产品经理,11-17K,南京,3-5年,本科,Suning,批发/零售,已上市,10000人以上,王女士,产品经理
产品专员,5-10K,广州,1-3年,本科,明世教育,在线教育,未融资,1000-9999人,吴先生,招聘主管
产品运营,4-6K,广州,1-3年,大专,好实惠,贸易/进出口,未融资,100-499人,朱女士,人事专员
产品经理,30-40K,上海,3-5年,本科,饿了么,O2O,不需要融资,10000人以上,王先生,产品经理
产品总监,25-50K,上海,5-10年,本科,同程艺龙,互联网,已上市,1000-9999人,李先生,招聘经理
产品顾问,3-6K,北京,经验不限,大专,金蝶软件,互联网,天使轮,1000-9999人,朱先生,人事
增长产品经理,18-35K,北京,1-3年,本科,宝宝树,互联网,已上市,1000-9999人,蒋女士,招聘经理
产品工程师,5-10K,佛山,1-3年,大专,顺德科锐玛,化工,未融资,100-499人,莫女士,人事
产品经理,12-20K,北京,3-5年,本科,中审华会计师事务所,企业服务,未融资,1000-9999人,王先生,招聘者
产品经理,20-40K,上海,经验不限,本科,万得,数据服务,不需要融资,1000-9999人,夏先生,产品经理
产品经理,10-15K,南京,5-10年,本科,Suning,批发/零售,已上市,10000人以上,暂无信息,暂无信息
产品经理（成都咪咕）,8-13K,成都,3-5年,学历不限,东信北邮,移动互联网,未融资,1000-9999人,钟女士,行政人事主管（成都）
产品经理,10-20K·13薪,杭州,1-3年,学历不限,杭州网创,电子商务,不需要融资,1000-9999人,吴先生,技术经理
产品经理,20-40K,南京,5-10年,本科,苏宁,计算机软件,已上市,10000人以上,蒋先生,智能应用研发中心副总监
产品经理,8-12K,广州,1-3年,本科,微米物联,新零售,不需要融资,100-499人,方女士,人事专员
产品经理,9-18K,深圳,3-5年,大专,超盟金服,移动互联网,A轮,1000-9999人,江女士,HR
产品经理,25-45K,北京,5-10年,本科,BOE,计算机软件,已上市,10000人以上,暂无信息,暂无信息
产品经理,15-30K,南京,3-5年,本科,Suning,批发/零售,已上市,10000人以上,张女士,产品总监
产品经理,15-30K,北京,3-5年,本科,舒泰神,医疗健康,已上市,500-999人,马女士,招聘经理
智能产品经理,25-30K,杭州,经验不限,学历不限,紫光华智,计算机软件,未融资,1000-9999人,郑先生,HR
商城产品经理,18-30K,北京,3-5年,本科,尚德机构,互联网,已上市,10000人以上,周女士,招聘
产品经理,8-13K,济宁,经验不限,大专,宜信公司,互联网金融,已上市,10000人以上,戚先生,客户顾问主管
产品专员,6-12K,重庆,经验不限,学历不限,名都丰盛旅游,政府/公共事业,不需要融资,1000-9999人,刘女士,助理
产品实习生,5-10K,邢台,经验不限,硕士,今麦郎面品,其他行业,未融资,10000人以上,刘先生,招聘经理
产品经理,11-20K,深圳,3-5年,本科,立润投资,房地产开发,未融资,1000-9999人,姚先生,副总裁
产品助理,7-10K,北京,1-3年,本科,超星集团,在线教育,不需要融资,1000-9999人,郑女士,产品运营经理
产品经理,8-13K,武汉,1-3年,本科,天风证券,互联网金融,已上市,1000-9999人,周女士,产品负责人
DevOps产品经理,20-40K,深圳,3-5年,本科,OPPO,互联网,不需要融资,10000人以上,刘先生,架构师
ERP产品经理,18-36K,深圳,5-10年,大专,跨越速运,物流/仓储,A轮,10000人以上,暂无信息,暂无信息
产品经理,15-27K,上海,3-5年,本科,盛大汽车,生活服务,已上市,1000-9999人,韩女士,招聘主管
策略产品经理,20-35K,北京,1-3年,本科,Boss直聘,人力资源服务,D轮及以上,1000-9999人,张女士,产品运营经理
电商产品经理,15-25K,北京,3-5年,本科,致医健康,互联网,C轮,1000-9999人,石女士,招聘主管
产品经理,10-20K,北京,1-3年,本科,登云美业,生活服务,未融资,10000人以上,沈女士,人事经理
搜索高级产品经理,10-20K,上海,3-5年,本科,饿了么,O2O,不需要融资,10000人以上,裴先生,招聘者
产品经理,20-28K,北京,3-5年,本科,GoFun出行,移动互联网,B轮,1000-9999人,常先生,产品
产品经理,20-30K,北京,经验不限,学历不限,爱亲母婴,广告营销,未融资,100-499人,宁女士,人事
产品总监,30-60K,北京,3-5年,本科,旷视科技,移动互联网,C轮,1000-9999人,尹先生,人力资源总监
产品专员,5-10K,成都,1年以内,大专,中腾信金融,互联网金融,未融资,500-999人,兰女士,销售主管
产品经理,8-13K,苏州,1-3年,本科,众言网络,互联网,已上市,100-499人,张女士,招聘专员
产品经理,6-7K,北京,应届生,硕士,平安科技,计算机软件,不需要融资,1000-9999人,张女士,hr
产品助理,4-8K,广州,经验不限,大专,小希,互联网,不需要融资,1000-9999人,倪女士,人事
产品专员,5-10K,杭州,1年以内,学历不限,杭州网创,电子商务,不需要融资,1000-9999人,吴先生,技术经理
高级产品经理,20-25K,上海,5-10年,本科,复星集团总部,互联网,已上市,10000人以上,顾女士,人力资源经理
产品经理,15-30K,厦门,3-5年,本科,瑞幸咖啡,互联网,已上市,10000人以上,林女士,HR
产品总监,30-60K,武汉,5-10年,本科,今日头条,移动互联网,不需要融资,10000人以上,王女士,招聘专员
资深产品/产品专家,23-46K,北京,3-5年,本科,蚂蚁金服,互联网,C轮,10000人以上,暂无信息,暂无信息
产品经理,17-30K,北京,3-5年,本科,登云美业,生活服务,未融资,10000人以上,安先生,招聘者
产品专员,6-8K,金华,1-3年,大专,赛尔集团,贸易/进出口,不需要融资,500-999人,姜女士,招聘专员
产品经理,15-30K,北京,3-5年,本科,京东物流,交通/运输,已上市,10000人以上,尹先生,招聘者
产品专员,6-10K,开封,经验不限,学历不限,联联周边游,旅游,B轮,100-499人,张先生,招聘者
产品经理,12-18K,深圳,3-5年,本科,荔枝微课,互联网,B轮,100-499人,刘女士,HR
