title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
系统运维工程师,5k-8k,上海 黄浦区 南京东路,1-3年,大专,鼎驰科技,计算机软件,不需要融资,500-999人,史女士,招聘主管
开源运维工程师,8k-16k,成都  ,1-3年,大专,准达信息,通信/网络设备,未融资,1000-9999人,谢女士,HR
运维工程师,5k-10k,南通  ,1-3年,大专,亿企赢,在线教育,未融资,1000-9999人,王女士,人力专员
运维工程师,4k-7k,乌鲁木齐 新市区 ,经验不限,大专,久远银海,计算机软件,已上市,1000-9999人,董先生,新疆事业部
运维工程师,11k-18k,上海 徐汇区 田林,3-5年,本科,汇付天下,互联网金融,已上市,1000-9999人,熊女士,HRBP
运维工具开发,6k-11k,南京 雨花台区 宁南,1-3年,大专,绛门科技,计算机软件,已上市,500-999人,曹女士,人事专员
运维工程师,12k-15k,杭州 西湖区 三墩,1-3年,本科,天玑科技,数据服务,已上市,500-999人,乔女士,人事
Linux运维工程师,11k-20k,杭州 余杭区 仓前,3-5年,大专,软通动力,计算机软件,已上市,10000人以上,沈先生,招聘顾问
车辆运维,3k-6k,昆明  ,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,车辆运营
运维工程师,3k-5k,东莞  ,经验不限,中专/中技,深圳来电科技有限公司,移动互联网,A轮,1000-9999人,刘先生,东莞运维主管
运维工程师,8k-10k,贵阳  ,3-5年,大专,神州信息,企业服务,已上市,1000-9999人,雨先生,工程师
运维总监,30k-60k,广州 天河区 棠下,5-10年,本科,3k游戏,游戏,已上市,100-499人,杨女士,HRBP
桌面运维,4k-6k,北京 昌平区 沙河,1-3年,本科,金泰亚盛,计算机软件,D轮及以上,100-499人,张女士,招聘专员
运维工程师,5k-9k,上海 静安区 闸北公园,1年以内,大专,上海蓝盟,企业服务,未融资,100-499人,孙先生,副总经理
数据库运维,9k-14k,海口  ,3-5年,大专,润和软件,移动互联网,已上市,1000-9999人,刘女士,财务经理
运维工程师,11k-20k,上海 长宁区 北新泾,1-3年,大专,杭州大搜车,企业服务,D轮及以上,1000-9999人,陈女士,招聘经理
运维工程师,3k-4k,西安 莲湖区 甜水井,经验不限,大专,西安艾尔实业,通信/网络设备,未融资,20-99人,张女士,行政人事主管
系统运维工程师,5k-8k,长沙 岳麓区 麓谷,1-3年,大专,科创信息,计算机软件,已上市,1000-9999人,王女士,HR
桌面运维工程师,4k-7k,深圳 龙岗区 布吉,1-3年,大专,神州信息,计算机软件,已上市,1000-9999人,郑女士,HRBP
window运维,6k-10k,深圳 罗湖区 国贸,5-10年,大专,阿卡索外教网,在线教育,C轮,1000-9999人,詹女士,HR
运维工程师,9k-12k,北京 海淀区 西北旺,1-3年,本科,北京用友政务,计算机软件,已上市,1000-9999人,冯先生,技术支持总监
高级运维工程师,23k-30k,北京 海淀区 上地,5-10年,大专,中恒天,汽车生产,未融资,1000-9999人,,HR
运维开发,16k-25k,杭州 西湖区 文三,5-10年,本科,嘉云数据,移动互联网,C轮,500-999人,胡女士,招聘专员
SX-SDN运维工程师,5k-10k,太原  ,经验不限,本科,成都贝尔,通信/网络设备,不需要融资,500-999人,杨女士,人事
运维工程师,4k-6k,台州  ,经验不限,大专,好未来,互联网,已上市,10000人以上,赵先生,HR
运维工程师,5k-6k,桂林  ,1年以内,本科,东华软件,计算机软件,已上市,1000-9999人,吴先生,招聘者
运维,10k-15k,西安  ,3-5年,本科,上海橡衫,计算机软件,暂无信息,20-99人,李女士,人事
APP运维,4k-5k,南京 江宁区 将军大道,1-3年,大专,南京盛佳建业,通信/网络设备,未融资,100-499人,刘女士,人事专员
运维工程师,6k-10k,大连  ,3-5年,本科,大连即时智能,计算机服务,暂无信息,100-499人,王女士,HR
运维工程师,7k-11k,西安  ,1-3年,本科,亚信科技,计算机软件,已上市,10000人以上,张先生,经理
IT运维工程师,5k-6k,日照  ,1-3年,大专,阳光雨露,计算机服务,未融资,1000-9999人,崔女士,HR主管
IT运维工程师,20k-30k·16薪,北京 海淀区 五道口,3-5年,本科,启迪云控,移动互联网,不需要融资,100-499人,李女士,招聘主管
运维工程师,15k-20k,上海 浦东新区 陆家嘴,1-3年,大专,JoinQuant,互联网,B轮,100-499人,刘先生,运维经理
运维工程师,8k-15k,北京 西城区 金融街,3-5年,本科,衡泰软件,计算机软件,不需要融资,500-999人,张女士,高级HRBP
软件运维工程师,6k-8k,宁波  ,1-3年,本科,宁波新日月酒店物业,生活服务,不需要融资,1000-9999人,陈女士,人事主管
运维服务专员,3k-4k,郑州  ,经验不限,大专,睿易教育,在线教育,A轮,500-999人,赵女士,人事专员
大数据运维工程师,10k-15k,北京 西城区 长椿街,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,康女士,HR
运维工程师,11k-20k,成都  ,3-5年,本科,新潮传媒,广告营销,D轮及以上,500-999人,邹女士,HR
运维工程师,4k-8k,昆明  ,1-3年,大专,神州信息,计算机软件,已上市,1000-9999人,李先生,技术部经理
C-SDN运维,5k-10k,成都 双流区 华阳,经验不限,本科,成都贝尔,通信/网络设备,不需要融资,500-999人,杨女士,人事
运维工程师,6k-8k,福州  ,1-3年,本科,福富公司,计算机软件,不需要融资,1000-9999人,黄先生,项目主管
驻场运维工程师,11k-16k,上海 静安区 静安寺,3-5年,本科,文思海辉技术有限公司,计算机软件,不需要融资,10000人以上,,HR招聘
高级运维工程师,30k-60k,深圳 宝安区 宝安中心,3-5年,本科,vivo,移动互联网,不需要融资,10000人以上,吴先生,运维经理
驻场运维工程师,10k-15k,乌鲁木齐  ,1-3年,本科,文思海辉技术有限公司,计算机软件,不需要融资,10000人以上,,HR招聘
运维主管,6k-10k,南京 栖霞区 ,3-5年,本科,实朴检测,环保,未融资,100-499人,臧女士,招聘者
IDC运维工程师,8k-12k,杭州 西湖区 三墩,1-3年,大专,江苏达科,通信/网络设备,不需要融资,500-999人,王女士,人事专员
高级运维,12k-16k,上海 长宁区 中山公园,3-5年,本科,东方福利网,互联网,不需要融资,1000-9999人,郭先生,招聘者
运维工程师,3k-5k,嘉兴 桐乡市 ,1年以内,大专,壹米滴答,物流/仓储,D轮及以上,10000人以上,崔先生,杭州大区招聘经理
运维工程师,7k-9k,厦门 湖里区 五缘湾,1-3年,大专,明源云,计算机软件,已上市,1000-9999人,黎女士,hr
产品运维,5k-7k,深圳 南山区 科技园,1年以内,大专,Etalk,在线教育,B轮,100-499人,章先生,产品运营总监
基础运维工程师,5k-6k,西安 莲湖区 莲湖公园,1-3年,大专,怡康,医疗健康,不需要融资,1000-9999人,姬女士,HR
运维工程师,3k-7k,石家庄  ,经验不限,大专,河北鸿联九五,通信/网络设备,不需要融资,1000-9999人,陆先生,技术主管
系统运维工程师,8k-12k,上海 松江区 新桥,3-5年,本科,国充充电科技,通信/网络设备,未融资,500-999人,张女士,人力资源招聘经理
